City,Population,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson1
Alachua,8833.0,68.0,1.0,3.0,10.0,54.0,412.0,80.0,306.0,26.0,1.0
Altamonte Springs,40513.0,216.0,4.0,13.0,66.0,133.0,1627.0,289.0,1157.0,181.0,9.0
Altha,516.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,4.0,0.0,0.0
Apalachicola,2331.0,9.0,0.0,0.0,0.0,9.0,89.0,18.0,68.0,3.0,1.0
Apopka,36895.0,362.0,2.0,25.0,132.0,203.0,1663.0,465.0,1054.0,144.0,18.0
Arcadia,7151.0,73.0,1.0,3.0,15.0,54.0,288.0,106.0,167.0,15.0,4.0
Astatula,1747.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,2.0,0.0,0.0
Atlantic Beach,13256.0,96.0,0.0,5.0,27.0,64.0,507.0,115.0,364.0,28.0,0.0
Atlantis,2131.0,5.0,0.0,0.0,2.0,3.0,33.0,10.0,21.0,2.0,0.0
Auburndale,13236.0,84.0,0.0,6.0,30.0,48.0,873.0,253.0,584.0,36.0,1.0
Aventura,30782.0,77.0,0.0,2.0,49.0,26.0,1888.0,114.0,1711.0,63.0,1.0
Avon Park,9135.0,137.0,0.0,2.0,9.0,126.0,332.0,116.0,216.0,0.0,2.0
Bal Harbour Village,3211.0,0.0,0.0,0.0,0.0,0.0,73.0,6.0,65.0,2.0,0.0
Bartow,16594.0,160.0,1.0,5.0,37.0,117.0,1102.0,266.0,788.0,48.0,0.0
Bay Harbor Island,4996.0,12.0,0.0,0.0,2.0,10.0,84.0,32.0,42.0,10.0,0.0
Belleair,4149.0,4.0,0.0,0.0,2.0,2.0,62.0,18.0,41.0,3.0,0.0
Belleair Beach,1611.0,3.0,0.0,1.0,0.0,2.0,36.0,7.0,29.0,0.0,1.0
Belleair Bluffs,2197.0,4.0,0.0,0.0,0.0,4.0,44.0,7.0,36.0,1.0,0.0
Belle Glade,15231.0,471.0,3.0,10.0,121.0,337.0,1402.0,442.0,876.0,84.0,10.0
Belleview,4074.0,21.0,0.0,1.0,1.0,19.0,323.0,106.0,202.0,15.0,0.0
Biscayne Park,3049.0,15.0,0.0,0.0,3.0,12.0,57.0,37.0,15.0,5.0,0.0
Blountstown,2443.0,10.0,0.0,0.0,2.0,8.0,41.0,8.0,31.0,2.0,0.0
Boca Raton,86868.0,236.0,5.0,16.0,83.0,132.0,3441.0,675.0,2596.0,170.0,2.0
Bonifay,2712.0,6.0,0.0,1.0,3.0,2.0,22.0,10.0,9.0,3.0,0.0
Bowling Green,2972.0,18.0,0.0,0.0,5.0,13.0,75.0,22.0,47.0,6.0,0.0
Boynton Beach,69469.0,730.0,6.0,5.0,199.0,520.0,3578.0,798.0,2507.0,273.0,9.0
Bradenton,54253.0,530.0,5.0,19.0,156.0,350.0,2476.0,593.0,1674.0,209.0,13.0
Bradenton Beach,1557.0,4.0,0.0,0.0,1.0,3.0,78.0,15.0,62.0,1.0,0.0
Brooksville,7651.0,64.0,0.0,4.0,12.0,48.0,332.0,52.0,255.0,25.0,1.0
Bunnell,1639.0,56.0,0.0,2.0,9.0,45.0,110.0,23.0,75.0,12.0,0.0
Bushnell,2200.0,10.0,0.0,1.0,4.0,5.0,129.0,29.0,96.0,4.0,0.0
Cape Coral,159936.0,402.0,5.0,40.0,97.0,260.0,5574.0,1483.0,3787.0,304.0,15.0
Carrabelle,1290.0,15.0,0.0,2.0,0.0,13.0,60.0,19.0,31.0,10.0,1.0
Casselberry,24663.0,178.0,1.0,12.0,54.0,111.0,1038.0,196.0,758.0,84.0,3.0
Cedar Grove,5201.0,21.0,0.0,4.0,2.0,15.0,102.0,28.0,48.0,26.0,2.0
Cedar Key,1008.0,8.0,0.0,0.0,0.0,8.0,5.0,3.0,2.0,0.0,0.0
Center Hill,1009.0,6.0,0.0,0.0,4.0,2.0,18.0,16.0,2.0,0.0,0.0
Chattahoochee,3807.0,51.0,0.0,2.0,1.0,48.0,118.0,40.0,72.0,6.0,0.0
Chiefland,2133.0,27.0,0.0,6.0,3.0,18.0,78.0,24.0,50.0,4.0,1.0
Chipley,3768.0,15.0,1.0,0.0,0.0,14.0,76.0,20.0,52.0,4.0,0.0
Clearwater,107501.0,868.0,10.0,34.0,240.0,584.0,4678.0,862.0,3469.0,347.0,31.0
Clermont,12385.0,115.0,1.0,9.0,28.0,77.0,739.0,216.0,481.0,42.0,7.0
Clewiston,7402.0,60.0,1.0,1.0,22.0,36.0,342.0,63.0,245.0,34.0,3.0
Cocoa,16704.0,474.0,4.0,15.0,119.0,336.0,1317.0,447.0,759.0,111.0,8.0
Cocoa Beach,12128.0,146.0,0.0,6.0,26.0,114.0,969.0,94.0,829.0,46.0,1.0
Coconut Creek,51033.0,95.0,0.0,5.0,26.0,64.0,1080.0,172.0,820.0,88.0,3.0
Coleman,714.0,3.0,0.0,0.0,0.0,3.0,3.0,1.0,2.0,0.0,0.0
Cooper City,30182.0,98.0,0.0,1.0,18.0,79.0,702.0,123.0,560.0,19.0,8.0
Coral Gables,42794.0,132.0,1.0,8.0,53.0,70.0,2195.0,404.0,1672.0,119.0,1.0
Coral Springs,131307.0,301.0,3.0,7.0,89.0,202.0,3052.0,478.0,2330.0,244.0,2.0
Crescent City,1827.0,26.0,0.0,0.0,4.0,22.0,112.0,31.0,76.0,5.0,0.0
Crestview,18753.0,101.0,3.0,13.0,21.0,64.0,770.0,82.0,634.0,54.0,11.0
Cross City,1838.0,12.0,0.0,0.0,4.0,8.0,73.0,20.0,53.0,0.0,0.0
Crystal River,3590.0,45.0,0.0,2.0,12.0,31.0,324.0,62.0,246.0,16.0,4.0
Cutler Bay,40468.0,212.0,1.0,5.0,82.0,124.0,2170.0,303.0,1710.0,157.0,2.0
Dade City,7079.0,77.0,0.0,7.0,10.0,60.0,432.0,109.0,297.0,26.0,1.0
Dania,29011.0,274.0,1.0,12.0,103.0,158.0,1583.0,331.0,1046.0,206.0,5.0
Davenport,2056.0,2.0,0.0,0.0,0.0,2.0,89.0,33.0,52.0,4.0,0.0
Davie,87007.0,336.0,1.0,22.0,128.0,185.0,3639.0,578.0,2663.0,398.0,10.0
Daytona Beach,64236.0,1063.0,8.0,48.0,323.0,684.0,4612.0,1172.0,2873.0,567.0,12.0
Daytona Beach Shores,5063.0,45.0,1.0,0.0,3.0,41.0,223.0,91.0,98.0,34.0,0.0
Deerfield Beach,76469.0,500.0,4.0,26.0,144.0,326.0,2527.0,571.0,1707.0,249.0,3.0
De Funiak Springs,4987.0,53.0,0.0,2.0,7.0,44.0,185.0,71.0,109.0,5.0,1.0
Deland,26610.0,167.0,1.0,4.0,46.0,116.0,1442.0,355.0,950.0,137.0,0.0
Delray Beach,65262.0,719.0,3.0,22.0,223.0,471.0,3553.0,753.0,2504.0,296.0,5.0
Doral,21356.0,136.0,0.0,8.0,30.0,98.0,2945.0,353.0,2313.0,279.0,2.0
Dundee,3148.0,13.0,0.0,1.0,2.0,10.0,191.0,38.0,133.0,20.0,0.0
Dunedin,36702.0,118.0,1.0,12.0,27.0,78.0,885.0,187.0,650.0,48.0,3.0
Dunnellon,2016.0,16.0,0.0,2.0,4.0,10.0,106.0,28.0,73.0,5.0,0.0
Eatonville,2265.0,44.0,1.0,1.0,13.0,29.0,155.0,38.0,93.0,24.0,0.0
Edgewater,21898.0,52.0,0.0,4.0,9.0,39.0,567.0,156.0,377.0,34.0,2.0
Edgewood,2084.0,9.0,0.0,0.0,4.0,5.0,131.0,47.0,79.0,5.0,0.0
El Portal,2384.0,15.0,0.0,0.0,5.0,10.0,99.0,52.0,40.0,7.0,0.0
Eustis,18685.0,84.0,0.0,5.0,16.0,63.0,518.0,131.0,341.0,46.0,0.0
Fellsmere,4850.0,11.0,0.0,0.0,4.0,7.0,70.0,12.0,42.0,16.0,0.0
Fernandina Beach,11423.0,53.0,1.0,7.0,7.0,38.0,409.0,90.0,294.0,25.0,6.0
Flagler Beach,2874.0,17.0,1.0,1.0,2.0,13.0,139.0,22.0,110.0,7.0,2.0
Florida City,9704.0,261.0,0.0,4.0,96.0,161.0,1315.0,280.0,962.0,73.0,2.0
Fort Lauderdale,187995.0,1523.0,25.0,56.0,736.0,706.0,9712.0,2266.0,6581.0,865.0,48.0
Fort Meade,5741.0,37.0,0.0,1.0,9.0,27.0,260.0,94.0,156.0,10.0,0.0
Fort Myers,61810.0,921.0,17.0,26.0,335.0,543.0,3357.0,576.0,2265.0,516.0,18.0
Fort Pierce,39456.0,844.0,4.0,45.0,229.0,566.0,2708.0,818.0,1670.0,220.0,11.0
Fort Walton Beach,19245.0,106.0,0.0,11.0,25.0,70.0,826.0,161.0,601.0,64.0,0.0
Frostproof,2915.0,20.0,0.0,3.0,4.0,13.0,138.0,55.0,79.0,4.0,0.0
Fruitland Park,3983.0,17.0,0.0,0.0,1.0,16.0,120.0,20.0,87.0,13.0,2.0
Gainesville,108289.0,1122.0,5.0,93.0,237.0,787.0,5795.0,1522.0,3837.0,436.0,22.0
Golden Beach,893.0,2.0,0.0,0.0,1.0,1.0,16.0,6.0,7.0,3.0,0.0
Graceville,2432.0,1.0,0.0,0.0,0.0,1.0,62.0,13.0,45.0,4.0,0.0
Greenacres City,33042.0,233.0,1.0,14.0,84.0,134.0,1344.0,362.0,892.0,90.0,2.0
Greensboro,610.0,5.0,0.0,0.0,2.0,3.0,29.0,14.0,15.0,0.0,0.0
Groveland,6519.0,20.0,0.0,2.0,0.0,18.0,152.0,35.0,104.0,13.0,0.0
Gulf Breeze,6563.0,7.0,0.0,1.0,3.0,3.0,150.0,27.0,120.0,3.0,0.0
Gulfport,12508.0,65.0,0.0,5.0,22.0,38.0,566.0,130.0,361.0,75.0,4.0
Gulf Stream,751.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,6.0,0.0,0.0
Haines City,18172.0,96.0,1.0,5.0,36.0,54.0,632.0,193.0,375.0,64.0,0.0
Hallandale,40147.0,444.0,2.0,9.0,116.0,317.0,1665.0,364.0,1131.0,170.0,21.0
Hampton,453.0,1.0,0.0,0.0,0.0,1.0,11.0,4.0,6.0,1.0,0.0
Havana,1703.0,12.0,0.0,1.0,1.0,10.0,106.0,35.0,65.0,6.0,0.0
Hialeah,215853.0,1274.0,7.0,42.0,503.0,722.0,9546.0,1808.0,6044.0,1694.0,28.0
Hialeah Gardens,19705.0,56.0,0.0,2.0,22.0,32.0,944.0,239.0,584.0,121.0,4.0
Highland Beach,4106.0,0.0,0.0,0.0,0.0,0.0,27.0,7.0,19.0,1.0,0.0
High Springs,4260.0,10.0,0.0,0.0,0.0,10.0,116.0,31.0,74.0,11.0,0.0
Hillsboro Beach,2357.0,1.0,0.0,0.0,0.0,1.0,22.0,0.0,22.0,0.0,0.0
Holly Hill,13510.0,135.0,0.0,5.0,47.0,83.0,820.0,233.0,507.0,80.0,2.0
Hollywood,146673.0,827.0,13.0,62.0,433.0,319.0,6713.0,1429.0,4303.0,981.0,5.0
Holmes Beach,5086.0,8.0,1.0,1.0,0.0,6.0,196.0,29.0,160.0,7.0,0.0
Homestead,58074.0,890.0,7.0,8.0,375.0,500.0,2593.0,920.0,1358.0,315.0,3.0
Howey-in-the-Hills,1274.0,10.0,0.0,1.0,0.0,9.0,26.0,8.0,18.0,0.0,0.0
Hypoluxo,2680.0,5.0,0.0,1.0,3.0,1.0,38.0,9.0,20.0,9.0,0.0
Indialantic,2997.0,6.0,0.0,1.0,2.0,3.0,88.0,22.0,65.0,1.0,0.0
Indian Creek Village,39.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0
Indian Harbour Beach,8516.0,20.0,0.0,3.0,5.0,12.0,188.0,54.0,129.0,5.0,2.0
Indian River Shores,3488.0,0.0,0.0,0.0,0.0,0.0,49.0,23.0,26.0,0.0,0.0
Indian Rocks Beach,5227.0,19.0,0.0,6.0,1.0,12.0,148.0,28.0,109.0,11.0,0.0
Indian Shores,4292.0,12.0,0.0,0.0,3.0,9.0,62.0,17.0,39.0,6.0,0.0
Inglis,1658.0,4.0,0.0,0.0,0.0,4.0,21.0,2.0,11.0,8.0,0.0
Jacksonville,797350.0,8146.0,123.0,249.0,3114.0,4660.0,45416.0,11115.0,29484.0,4817.0,187.0
Jacksonville Beach,21801.0,177.0,2.0,8.0,66.0,101.0,1430.0,282.0,1017.0,131.0,10.0
Jennings,841.0,3.0,0.0,0.0,1.0,2.0,9.0,3.0,6.0,0.0,0.0
Juno Beach,3395.0,7.0,0.0,2.0,0.0,5.0,130.0,28.0,100.0,2.0,0.0
Jupiter,50294.0,236.0,3.0,7.0,73.0,153.0,1739.0,463.0,1190.0,86.0,6.0
Jupiter Inlet Colony,392.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0
