COLLEGE,STATE,COST OF ATTENDANCE,NUMBER of INTER'L STDS,NUMBER AIDED,AVERAGE AWARD
Alabama State University,AL,13910.0,16.0,13.0,8840.0
Birmingham Southern College,AL,28864.0,19.0,19.0,21661.0
Huntingdon College,AL,22445.0,14.0,14.0,8544.0
Spring Hill College,AL,28948.0,21.0,8.0,10294.0
University of Alabama-Huntsville,AL,15140.0,172.0,15.0,5589.0
Harding University,AR,17716.0,241.0,175.0,8691.0
Hendrix College,AR,23930.0,10.0,5.0,12975.0
John Brown University,AR,23836.0,123.0,56.0,17032.0
Lyon College,AR,20995.0,31.0,21.0,12649.0
University of Arkansas,AR,17955.0,335.0,221.0,8871.0
University of the Ozarks,AR,20239.0,118.0,118.0,11333.0
Arizona State University,AZ,23260.0,1203.0,526.0,6202.0
Northern Arizona University,AZ,21404.0,241.0,122.0,6994.0
Art Center College of Design,CA,28898.0,239.0,39.0,5025.0
California Inst. of Technology,CA,36627.0,72.0,46.0,29832.0
California Institute of the Arts,CA,33995.0,70.0,47.0,10013.0
Fresno Pacific University,CA,26622.0,37.0,34.0,7907.0
Harvey Mudd College,CA,39780.0,19.0,11.0,29025.0
Marymount College,CA,27070.0,151.0,6.0,8333.0
Occidental College,CA,38818.0,58.0,32.0,32841.0
Pomona College,CA,39580.0,30.0,16.0,30000.0
Scripps College,CA,37500.0,19.0,6.0,16850.0
St. Mary's College of CA,CA,35730.0,78.0,10.0,25148.0
Stanford University,CA,39127.0,334.0,200.0,22363.0
U. of CA-Los Angeles,CA,27699.0,702.0,95.0,10461.0
U. of Redlands,CA,35390.0,39.0,28.0,21435.0
University of La Verne,CA,34954.0,23.0,2.0,9485.0
University of Southern CA,CA,40154.0,1181.0,225.0,17757.0
Whittier College,CA,35390.0,63.0,18.0,13868.0
Colorado Christian University,CO,23200.0,12.0,10.0,7405.0
Colorado College,CO,39598.0,64.0,26.0,24431.0
Naropa University,CO,27560.0,17.0,15.0,9746.0
U. of Colorado-Boulder,CO,31493.0,344.0,42.0,14433.0
University of Denver,CO,33528.0,200.0,117.0,12341.0
Connecticut College,CT,37900.0,140.0,68.0,33747.0
Fairfield University,CT,40605.0,60.0,25.0,25308.0
Paier College of Art,CT,15665.0,,3.0,5500.0
Sacred Heart University,CT,30530.0,43.0,10.0,8000.0
Trinity College,CT,39947.0,46.0,39.0,29224.0
University of Hartford,CT,37000.0,155.0,76.0,14362.0
Wesleyan University,CT,40206.0,154.0,47.0,33040.0
Yale University,CT,39520.0,421.0,181.0,28178.0
American University,DC,36655.0,490.0,101.0,16111.0
George Washington University,DC,41190.0,464.0,122.0,15990.0
Georgetown University,DC,40697.0,277.0,20.0,26500.0
Barry University,FL,27759.0,293.0,192.0,9961.0
Bethune-Cookman College,FL,20120.0,173.0,76.0,10353.0
Florida Atlantic University,FL,21077.0,1088.0,261.0,5526.0
Florida Gulf Coast University,FL,18677.0,37.0,10.0,6098.0
Florida Institute of Technology,FL,32740.0,487.0,222.0,8034.0
Jacksonville University,FL,26040.0,71.0,54.0,14256.0
Northwood University,FL,23842.0,162.0,114.0,6424.0
Rollins College,FL,37798.0,67.0,25.0,17362.0
St. Leo University,FL,24203.0,50.0,16.0,5033.0
St. Thomas University,FL,26200.0,177.0,123.0,5362.0
Stetson University,FL,31915.0,65.0,57.0,11626.0
University of Central Florida,FL,21128.0,200.0,191.0,5240.0
University of Miami,FL,37796.0,675.0,172.0,16651.0
Warner Southern College,FL,19540.0,27.0,36.0,7958.0
Webber International University,FL,23632.0,97.0,77.0,5419.0
Agnes Scott College,GA,31780.0,44.0,43.0,15832.0
Art Institute of Atlanta,GA,26868.0,84.0,3.0,5480.0
Berry College,GA,24866.0,37.0,30.0,14775.0
Covenant College,GA,25490.0,13.0,12.0,13641.0
Georgia Southern U.,GA,17758.0,162.0,132.0,6427.0
LaGrange College,GA,23300.0,33.0,5.0,12142.0
Mercer University,GA,29381.0,201.0,103.0,9795.0
Oglethorpe University,GA,29720.0,57.0,33.0,12729.0
Shorter College,GA,20205.0,31.0,31.0,11452.0
Wesleyan College,GA,19970.0,28.0,112.0,12877.0
Hawaii Pacific University,HI,21938.0,990.0,154.0,5052.0
Northwest Nazarene University,ID,22760.0,5.0,5.0,13757.0
Augustana College,IL,26392.0,7.0,7.0,10297.0
Blessing-Reiman Coll of Nursing,IL,5045.0,,2.0,7500.0
Dominican University,IL,27300.0,23.0,16.0,6851.0
Greenville College,IL,24342.0,18.0,18.0,7044.0
Illinois Institue of Technology,IL,30813.0,314.0,291.0,9254.0
Illinois Wesleyan University,IL,32110.0,44.0,44.0,14425.0
Judson College,IL,24250.0,36.0,46.0,8135.0
Knox College,IL,31936.0,86.0,76.0,16144.0
Lake Forest College,IL,31890.0,107.0,102.0,16424.0
McKendree College,IL,28455.0,26.0,21.0,7292.0
Millikin University,IL,27332.0,13.0,13.0,8157.0
Monmouth College,IL,25450.0,24.0,36.0,11000.0
North Central College,IL,28191.0,34.0,28.0,8430.0
North Park University,IL,30155.0,92.0,50.0,9068.0
Oakton Community College,IL,16688.0,,2.0,5831.0
Olivet Nazerene University,IL,22480.0,23.0,15.0,12000.0
St. Xavier University,IL,14360.0,16.0,7.0,5321.0
Trinity Christian College,IL,24812.0,20.0,20.0,6414.0
Trinity International University,IL,25920.0,14.0,14.0,7882.0
University of Chicago,IL,41620.0,334.0,19.0,25572.0
University of St. Francis,IL,24500.0,4.0,4.0,12837.0
DePauw University,IN,33150.0,35.0,26.0,26159.0
Earlham College,IN,33626.0,55.0,55.0,15656.0
Franklin College,IN,24795.0,6.0,5.0,5400.0
Goshen College,IN,24410.0,13.0,8.0,5245.0
Manchester College,IN,27890.0,,83.0,13201.0
Saint Mary's College,IN,31688.0,12.0,7.0,20395.0
Taylor University,IN,26020.0,,30.0,9951.0
Taylor University-Ft. Wayne,IN,22784.0,32.0,4.0,12820.0
Tri-State University,IN,25622.0,35.0,24.0,5260.0
University of Evansville,IN,27056.0,153.0,76.0,7899.0
University of Notre Dame,IN,36792.0,268.0,159.0,17933.0
Valparaiso University,IN,27788.0,73.0,18.0,10725.0
Wabash College,IN,29432.0,27.0,18.0,10725.0
Briar Cliff University,IO,24420.0,4.0,4.0,13180.0
Buena Vista University,IO,26906.0,10.0,4.0,5625.0
Clarke College,IO,26673.0,23.0,12.0,5833.0
Coe College,IO,31785.0,40.0,30.0,14378.0
Cornell College,IO,29885.0,9.0,9.0,5745.0
Drake University,IO,28335.0,141.0,132.0,9848.0
Faith Baptist Bible College,IO,16718.0,2.0,2.0,6438.0
Franciscan University,IO,20520.0,16.0,14.0,9168.0
Graceland University,IO,23575.0,103.0,101.0,11854.0
Grand View College,IO,22948.0,25.0,22.0,8037.0
Grinnell College,IO,32480.0,149.0,146.0,21859.0
Iowa State University,IO,24052.0,914.0,235.0,10087.0
Loras College,IO,26428.0,23.0,10.0,9081.0
Luther College,IO,29015.0,149.0,143.0,9502.0
Maharishi U. of Management,IO,33510.0,43.0,53.0,18157.0
Morningside College,IO,24610.0,19.0,19.0,5237.0
Mount Mercy College,IO,24856.0,2.0,2.0,7050.0
Northwestern College,IO,22740.0,32.0,3.0,20238.0
Simpson College,IO,27050.0,31.0,30.0,16707.0
St. Ambrose University,IO,24680.0,12.0,10.0,9811.0
