,Futures Commission Merchant / Retail Foreign Exchange Dealer,Reg As    (a),DSRO    (b),A/O Date,Adjusted Net Capital,Net Capital Requirement   (c),Excess Net Capital   (d),Customers' Assets in Seg  (e),Customers' Seg Required 4d(a)(2)  (f),Excess/Deficient Funds in Seg   (g),Funds in Separate Section 30.7 Accounts  (h),Customer Amount Pt. 30 Required  (i),Excess/Deficient Funds in Separate Section 30.7 Accounts (j),Total Amount of Retail Forex Obligation  (k)
1.0,ABN AMRO CLEARING CHICAGO LLC,FCM BD,CBOT,2013-06-30 00:00:00,438981131,125119181,313861950,2720601655,2465733838,254867817,148377996,105593754,42784242,0
2.0,ADM INVESTOR SERVICES INC,FCM,CBOT,2013-06-30 00:00:00,271925497,139189496,132736001,3240534700,2996963649,243571051,206042478,135503551,70538927,0
3.0,ADVANTAGE FUTURES LLC,FCM,CME,2013-06-30 00:00:00,22772553,10505479,12267074,458266191,443152550,15113641,31870674,28559821,3310853,0
4.0,ALPARI (US) LLC,FCMRFD,NFA,2013-06-30 00:00:00,23321257,20077365,3243892,4094012,1332575,2761437,4103896,2580231,1523665,11547290
5.0,AMERIPRISE FINANCIAL SERVICES INC,FCM BD,NFA,2013-06-30 00:00:00,136047354,1000000,135047354,0,0,0,0,0,0,0
6.0,AMP GLOBAL CLEARING LLC,FCM,NFA,2013-06-30 00:00:00,2508979,1500000,1008979,42618086,40997979,1620107,559327,364968,194359,0
7.0,BARCLAYS CAPITAL INC,FCM BD,NYME,2013-06-30 00:00:00,5993062818,1192813959,4800248859,6297318824,6061103578,236215246,4359729431,4119114747,240614684,0
8.0,BGC FINANCIAL LP,FCM BD,NFA,2013-06-30 00:00:00,48325117,7487426,40837691,0,0,0,0,0,0,0
9.0,BNP PARIBAS PRIME BROKERAGE INC,FCM BD,NYME,2013-06-30 00:00:00,3386135246,228410786,3157724460,2494374125,2251596291,242777834,20669559,3220238,17449321,0
10.0,BNP PARIBAS SECURITIES CORP,FCM BD,CBOT,2013-06-30 00:00:00,1400900250,138229988,1262670262,978591048,615566709,363024339,1000000,0,1000000,0
11.0,BNY MELLON CLEARING LLC,FCM,CME,2013-06-30 00:00:00,287463464,20000000,267463464,255352341,93531405,161820936,34969888,15553793,19416095,0
12.0,BOCI COMMODITIES & FUTURES USA LLC,FCM,NFA,2013-06-30 00:00:00,4769865,1000000,3769865,0,0,0,0,0,0,0
13.0,CANTOR FITZGERALD & CO,FCM BD,CBOT,2013-06-30 00:00:00,221804656,9227995,212576661,6212232,1247147,4965085,0,0,0,0
14.0,CAPITAL MARKET SERVICES LLC,FCM,NFA,2013-06-30 00:00:00,2250260,1000000,1250260,0,0,0,0,0,0,0
15.0,CHS HEDGING INC,FCM,CBOT,2013-06-30 00:00:00,25745543,9349663,16395880,180747828,156366548,24381280,1447905,454525,993380,0
16.0,CITADEL SECURITIES LLC,FCM BD,CME,2013-06-30 00:00:00,393089594,1215260,391874334,0,0,0,0,0,0,0
17.0,CITIGROUP GLOBAL MARKETS INC,FCM BD,CBOT,2013-06-30 00:00:00,5090243714,796530980,4293712734,7512038174,7173583785,338454389,1249835222,972871441,276963781,0
18.0,CREDIT SUISSE SECURITIES (USA) LLC,FCM BD,CBOT,2013-06-30 00:00:00,6775330708,2076470324,4698860384,8572355980,7177950056,1394405924,3310194016,2683084863,627109153,0
19.0,CROSSLAND LLC,FCM,CBOT,2013-06-30 00:00:00,9194606,3139575,6055031,85109702,83490249,1619453,18212162,17438071,774091,0
20.0,CUNNINGHAM COMMODITIES LLC,FCM,CBOT,2013-06-30 00:00:00,2654670,1500000,1154670,58843126,57850926,992200,894232,741875,152357,0
21.0,CX CAPITAL MARKETS LLC,FCM BD,NFA,2013-06-30 00:00:00,1014164,1000000,14164,0,0,0,0,0,0,0
22.0,DAIWA CAPITAL MARKETS AMERICA INC,FCM BD,CME,2013-06-30 00:00:00,339099150,7339356,331759794,8183026,3546631,4636395,1010107,0,1010107,0
23.0,DEUTSCHE BANK SECURITIES INC,FCM BD,CBOT,2013-06-30 00:00:00,7397566133,685244849,6712321284,14168918178,13531238789,637679389,1334841513,1088818794,246022719,0
24.0,DORMAN TRADING LLC,FCM,CME,2013-06-30 00:00:00,11304554,1251303,10053251,138297442,134866947,3430495,2230646,1854561,376085,0
25.0,E D & F MAN CAPITAL MARKETS INC,FCM BD,CME,2013-06-30 00:00:00,24942510,5333653,19608857,162479032,153641468,8837564,1907613,1300064,607549,0
26.0,E TRADE CLEARING LLC,FCM BD,NFA,2013-06-28 00:00:00,687445077,134114006,553331071,49414203,39025119,10389084,1380675,380836,999839,0
27.0,ENSKILDA FUTURES LTD,FCM,CME,2013-06-28 00:00:00,35076303,16568844,18507459,211053524,199569145,11484379,0,0,0,0
28.0,FCSTONE LLC,FCM,CME,2013-06-30 00:00:00,106179518,66215840,39963678,1638625455,1617184543,21440912,66130261,56180145,9950116,0
29.0,FOREX CAPITAL MARKETS LLC,FCMRFD,NFA,2013-06-30 00:00:00,75518635,27052140,48466495,0,0,0,0,0,0,151042804
30.0,FRIEDBERG MERCANTILE GROUP INC,FCM,NFA,2013-06-30 00:00:00,4626094,1000000,3626094,4655337,4059261,596076,1578004,1518378,59626,0
31.0,FRONTIER FUTURES INC,FCM,NFA,2013-06-30 00:00:00,1974840,1000000,974840,29420489,28649452,771037,0,0,0,0
32.0,FXDIRECTDEALER LLC,FCMRFD,NFA,2013-06-30 00:00:00,23747949,20864981,2882968,0,0,0,0,0,0,27299630
33.0,GAIN CAPITAL GROUP LLC,FCMRFD,NFA,2013-06-30 00:00:00,45390222,24983703,20406519,135169487,129417775,5751712,4187199,2946112,1241087,109674065
34.0,GH FINANCIALS LLC,FCM,CME,2013-06-30 00:00:00,9550089,1000000,8550089,2526469,1940182,586287,0,0,0,0
35.0,GLOBAL FUTURES & FOREX LTD,FCMRFD,NFA,2013-06-30 00:00:00,1043005,20000000,-18956995,0,0,0,0,0,0,0
36.0,GOLDMAN SACHS & CO,FCM BD,CBOT,2013-06-30 00:00:00,13985860536,2019764330,11966096206,18882981406,18360733356,522248050,9726988631,9230038097,496950534,0
37.0,GOLDMAN SACHS EXECUTION & CLEARING LP,FCM BD,CME,2013-06-30 00:00:00,1950215929,133082105,1817133824,1483675459,895677803,587997656,70899944,24812145,46087799,0
38.0,GUGGENHEIM SECURITIES LLC,FCM BD,NFA,2013-06-30 00:00:00,76680508,1394797,75285711,0,0,0,0,0,0,0
39.0,HSBC SECURITIES USA INC,FCM BD,CME,2013-06-30 00:00:00,1059976468,106978911,952997557,882647060,827082633,55564427,95897327,64326041,31571286,0
40.0,IBFX INC,RFED,NFA,2013-06-30 00:00:00,28612338,23280270,5332068,0,0,0,0,0,0,75605391
41.0,INSTINET LLC,FCM BD,NFA,2013-06-30 00:00:00,95284044,3160054,92123990,0,0,0,0,0,0,0
42.0,INSTITUTIONAL LIQUIDITY LLC,FCMRFD,NFA,2013-06-30 00:00:00,33733420,20177695,13555725,0,0,0,0,0,0,13553891
43.0,INTERACTIVE BROKERS LLC,FCM BD,NFA,2013-06-30 00:00:00,1909626877,251970295,1657656582,2180351545,1954667368,225684177,511510170,373496368,138013802,33093884
44.0,IRONBEAM INC,FCM,NFA,2013-06-30 00:00:00,2472794,1000000,1472794,43118460,41684094,1434366,111185,4150,107035,0
45.0,ITG DERIVATIVES LLC,FCM BD,NFA,2013-06-30 00:00:00,3905267,1000000,2905267,0,0,0,0,0,0,0
46.0,JEFFERIES BACHE LLC,FCM,CBOT,2013-06-30 00:00:00,244062000,130468160,113593840,2178598000,2078132000,100466000,196061000,124800000,71261000,0
47.0,JP MORGAN CLEARING CORP,FCM BD,NFA,2013-06-28 00:00:00,6690730070,1690944668,4999785402,917231039,679504350,237726689,647246164,394555542,252690622,0
48.0,JP MORGAN SECURITIES LLC,FCM BD,CEI,2013-06-30 00:00:00,13768970971,1808638069,11960332902,18087555511,16127569437,1959986074,3455283785,3073495456,381788329,0
49.0,KNIGHT CAPITAL AMERICAS LLC,FCM BD,CME,2013-06-30 00:00:00,318684657,21296172,297388485,517503201,501771934,15731267,12053300,7482183,4571117,35923441
50.0,LEK SECURITIES CORPORATION,FCM BD,NFA,2013-06-30 00:00:00,9050018,1500000,7550018,10389652,8829375,1560277,0,0,0,0
51.0,LINN GROUP THE,FCM,NFA,2013-06-30 00:00:00,3391175,1934073,1457102,81791016,78236220,3554796,347705,0,347705,0
52.0,LPL FINANCIAL LLC,FCM BD,NFA,2013-06-30 00:00:00,181089275,5977478,175111797,0,0,0,0,0,0,0
53.0,MACQUARIE FUTURES USA LLC,FCM,CBOT,2013-06-30 00:00:00,143947852,94454914,49492938,1440568654,1275659952,164908702,33236110,26589989,6646121,0
54.0,MAREX NORTH AMERICA LLC,FCM,CME,2013-06-30 00:00:00,11886624,7265864,4620760,98966721,92319463,6647258,5902573,5190317,712256,0
55.0,MB TRADING FUTURES INC,FCMRFD,NFA,2013-06-30 00:00:00,24229467,21532415,2697052,0,0,0,0,0,0,40648295
56.0,MCVEAN TRADING & INVESTMENTS LLC,FCM,NFA,2013-06-30 00:00:00,13230247,3548728,9681519,836262778,815230051,21032727,2650556,0,2650556,0
57.0,MERRILL LYNCH PIERCE FENNER & SMITH,FCM BD,CBOT,2013-06-30 00:00:00,11649158592,793196656,10855961936,8076546948,7692456094,384090854,2710470923,2359388174,351082749,0
58.0,MERRILL LYNCH PROFESSIONAL CLEARING CORP,FCM BD,NFA,2013-06-30 00:00:00,1829495062,242170081,1587324981,1582111487,813751567,768359920,28741798,749613,27992185,0
59.0,MID CO COMMODITIES INC,FCM,NFA,2013-06-30 00:00:00,9849970,3587814,6262156,50253684,41168839,9084845,572574,0,572574,0
60.0,MITSUBISHI UFJ SECURITIES USA INC,FCM BD,NFA,2013-06-30 00:00:00,213567928,1024883,212543045,0,0,0,0,0,0,0
61.0,MITSUI BUSSAN COMMODITIES USA INC,FCM,NFA,2013-06-30 00:00:00,3382859,1000000,2382859,0,0,0,0,0,0,0
62.0,MIZUHO SECURITIES USA INC,FCM BD,CME,2013-06-30 00:00:00,434197529,177666239,256531290,2465825905,2273600651,192225254,386960657,302569773,84390884,0
63.0,MORGAN STANLEY & CO LLC,FCM BD,CME,2013-06-30 00:00:00,6678424724,1441152057,5237272667,7597864467,7389672775,208191692,2122690961,1916312105,206378856,0
64.0,MORGAN STANLEY SMITH BARNEY LLC,FCM BD,NFA,2013-06-28 00:00:00,3205444631,159003435,3046441196,731471211,636482364,94988847,95402948,66034680,29368268,0
65.0,NATIXIS SECURITIES AMERICAS LLC,FCM BD,NFA,2013-06-30 00:00:00,303145275,2579717,300565558,0,0,0,0,0,0,0
66.0,NEUBERGER BERMAN LLC,FCM BD,NFA,2013-06-30 00:00:00,68343914,1500000,66843914,0,0,0,0,0,0,0
67.0,NEWEDGE USA LLC,FCM BD,NYME,2013-06-30 00:00:00,1973658172,954239751,1019418421,14647712788,14075584466,572128322,3219961451,2868280737,351680714,0
68.0,NOMURA SECURITIES INTERNATIONAL INC,FCM BD,CBOT,2013-06-28 00:00:00,2471477151,27071348,2444405803,71712710,55755653,15957057,31625793,7124490,24501303,0
69.0,OANDA CORPORATION,FCMRFD,NFA,2013-06-30 00:00:00,151949489,26246564,125702925,0,0,0,0,0,0,134931279
70.0,OPPENHEIMER & CO INC,FCM BD,NFA,2013-06-30 00:00:00,158513177,26077861,132435316,35797340,17594776,18202564,0,0,0,0
71.0,OPTIONSXPRESS INC,FCM BD,NFA,2013-06-30 00:00:00,92445317,6784254,85661063,113994260,87829919,26164341,3844688,1298371,2546317,0
72.0,PHILLIP FUTURES INC,FCM,CME,2013-06-30 00:00:00,27600089,20000000,7600089,178325212,155853818,22471394,4126103,1887351,2238752,0
73.0,PIONEER FUTURES INC,FCM,NFA,2013-06-30 00:00:00,2362692,1000000,1362692,0,0,0,0,0,0,0
74.0,RAND FINANCIAL SERVICES INC,FCM,CME,2013-06-30 00:00:00,78078416,21208122,56870294,488172900,446029200,42143700,27649100,5639200,22009900,0
75.0,RAYMOND JAMES & ASSOCIATES INC,FCM BD,NFA,2013-06-28 00:00:00,409708149,37628213,372079936,0,0,0,0,0,0,0
76.0,RBC CAPITAL MARKETS LLC,FCM BD,CME,2013-06-28 00:00:00,1205507772,103822097,1101685675,855429343,775889988,79539355,133643272,79648370,53994902,0
77.0,RBS SECURITIES INC,FCM BD,CBOT,2013-06-30 00:00:00,3469994479,141607553,3328386926,1687940182,1546648609,141291573,174280517,55489077,118791440,0
78.0,RJ OBRIEN ASSOCIATES LLC,FCM,CME,2013-06-30 00:00:00,204250024,131276458,72973566,4002575538,3886400455,116175083,178003322,149754440,28248882,1842555
79.0,ROSENTHAL COLLINS GROUP LLC,FCM,CME,2013-06-30 00:00:00,83882299,57203884,26678415,1567245820,1547780897,19464923,37268857,27357030,9911827,0
80.0,SANFORD C BERNSTEIN & CO LLC,FCM BD,NFA,2013-06-30 00:00:00,168289058,20506623,147782435,0,0,0,0,0,0,0
81.0,SANTANDER INVESTMENT SECURITIES INC,FCM BD,NYME,2013-06-28 00:00:00,518140758,7833120,510307638,645194820,642631224,2563596,0,0,0,0
82.0,STATE STREET GLOBAL MARKETS LLC,FCM BD,CME,2013-06-30 00:00:00,513834063,20420198,493413865,264873936,177948886,86925050,104980992,64662558,40318434,0
83.0,STRAITS FINANCIAL LLC,FCM,CME,2013-06-30 00:00:00,9611600,3211333,6400267,119509182,112672585,6836597,22816178,20752702,2063476,0
84.0,TD AMERITRADE INC,FCM BD,NFA,2013-06-30 00:00:00,250554426,8032395,242522031,177641627,97748149,79893478,0,0,0,0
85.0,TIMBER HILL LLC,FCM BD,CME,2013-06-30 00:00:00,511164156,43684907,467479249,660872862,658346538,2526324,0,0,0,0
86.0,TRADELINK LLC,FCM BD,CBOT,2013-06-30 00:00:00,12952189,1000000,11952189,0,0,0,0,0,0,0
87.0,TRADESTATION SECURITIES INC,FCM BD,NFA,2013-06-30 00:00:00,53346764,2646819,50699945,410208789,399477488,10731301,15265950,14306433,959517,0
88.0,TULLETT PREBON FINANCIAL SERVICES LLC,FCM BD,NFA,2013-06-30 00:00:00,27240612,1000000,26240612,0,0,0,0,0,0,0
89.0,UBS FINANCIAL SERVICES INC,FCM BD,NFA,2013-06-30 00:00:00,1455144268,104673102,1350471166,122287759,94760845,27526914,25298139,1194403,24103736,0
90.0,UBS SECURITIES LLC,FCM BD,CBOT,2013-06-28 00:00:00,9146442488,951813600,8194628888,9519444504,8803314863,716129641,4947071341,4504750072,442321269,0
91.0,VELOCITY FUTURES LLC,FCM,NFA,2013-06-30 00:00:00,1255833,1000000,255833,60190702,59330445,860257,1530777,987948,542829,0
92.0,VISION FINANCIAL MARKETS LLC,FCM BD,CME,2013-06-30 00:00:00,35630337,10798791,24831546,494070536,481029750,13040786,14917739,12391583,2526156,0
93.0,WELLS FARGO ADVISORS FINANCIAL NETWORK LLC,FCM BD,NFA,2013-06-30 00:00:00,47639416,1000000,46639416,0,0,0,0,0,0,0
94.0,WELLS FARGO ADVISORS LLC,FCM BD,NFA,2013-06-30 00:00:00,1101973043,1500000,1100473043,0,0,0,0,0,0,0
95.0,WELLS FARGO SECURITIES LLC,FCM BD,CME,2013-06-30 00:00:00,2375889396,14294290,2361595106,10000078,0,10000078,4938690,0,4938690,0
96.0,WHITE COMMERCIAL CORPORATION,FCM,NFA,2013-06-30 00:00:00,2460762,1000000,1460762,0,0,0,0,0,0,0
97.0,WHOTRADES FX LLC,FCM,NFA,2013-06-30 00:00:00,2036862,1000000,1036862,0,0,0,0,0,0,0
98.0,XCHANGE FINANCIAL ACCESS LLC,FCM BD,NFA,2013-06-30 00:00:00,5940872,1000000,4940872,39338555,37182723,2155832,0,0,0,0
99.0,XPRESSTRADE LLC,RFED,NFA,2013-06-30 00:00:00,22860633,20000000,2860633,0,0,0,0,0,0,385287
100.0,YORK BUSINESS ASSOCIATES LLC,FCM,NFA,2013-06-30 00:00:00,4366042,1000000,3366042,53997384,51828224,2169160,2424193,1901823,522370,0
